词汇,词性,词义/用法,变位 / 特殊阴阳性,是否收藏
ennuyer(s’),v.pr.,"v. 使……感到厌倦 / s’ennuyer de: Je m’ennuie de mon pays natal. / ennuyeux, ennuyeuse","J’ennuie, Tu ennuies, Il ennuie, Nous ennuyons, Vous ennuyez,  Ils ennuient",
étranger,n.m.,外国（人）partir / aller à l’étranger / langue étrangère,,
"fini,e",adj.,,,
glace,n.f.,,,
habitude,n.f.,comme d’habitude / habituer(s’) v.pr. + à / Je me suis habitué aux horaires de l’entreprise,,
pause,n.f.,pause-café,,
rêver,v.i.,做梦 Arrêtez de rêver! / rêver de + n. / inf. / Il rêve de cet unniversité / d’entrer cet unniversité. / rêve n.m. ,,
soleil,n.m.,"le soleil 太阳 du soleil 阳光 / Il fait du soleil / beau / ensoleilé,e adj. une journée ensoleilée",,
super,,,,
toujours,,,,
vivement,adv.,赶快！vivement les vacances! 区别于vive（万岁）,,
vraiment,adv.,,,
Leçon 28,,,,
août,n.m.,,,
chiffre,n.m.,chiffre d’affaires 营业额 chiffre d’etudiants,,
couple,n.m.,,,
"culturel,le",adj.,activité culturelle ,,
en,prép.,au printemps / en été / automne / hiver ,,
location,n.f.,,,
mai,n.m.,,,
ministère,n.m.,ministre n. premier ministre,,
montagne,n.f.,,,
"organisé,e",adj.,organisation n.f. ONU,,
plusieurs,adj.,（强调多）quelque （强调少）前置形容词,,
point,n.m.,point de vue,,
pourcentage,n.m.,20% vingt porucent,,
pratique,adj.,"实用的，方便的 pratiquer: En ville, prendre le métro est pratique",,
pricipalment,adv.,pricipal,,
rencontrer,v.t.,rencontre n.f. Je l’ai recontré dan la rue.,,
réponse,n.f.,corrigé n.m. corriger v. répondre,,
résidence,n.f.,"résider / residant,e n.",,
résultat,n.m.,,,
retrouver,v.,se retrouver On se retrouve devant le cinéma.,,
sondage,n.m.,,,
secondaire,adj.,,,
"sportif,ive",adj.,,,
tranquille,adj.,,,
Leçon 29,,,,
album,n.m.,,,
article,n.m.,,,
basket,n.m.,basketball,,
chanson,n.f.,,,
chaton,n.m.,,,
comme,conj.,像：comme ça / comme moi 当做（不加冠词）：comme desert / Je travaille ici comme secretaire,,
corps,n.m.,身体,,
demander,v.t.,demander à qn de faire qch.: Le médecin m’a demandé de me coucher tôt. / demander qch. à qg: Je lui demande ton numéro de téléphone. / demande n.f.,,
enfance,n.f.,mon enfance,,
époque,n.f.,à notre époque,,
fan,n.,,,
grand-mère,n.f.,p.l. grands-mères,,
grand-père,n.m.,p.l. grands-pères,,
"heureux,euse",adj.,,,
interview,n.f.,interviewer n.m.,,
jouet,n.m.,joujou,,
malade,adj.,,,
parents,n.m.pl.,,,
parler,v.t.ind.,parler de qch. à qn.,,
"particulier,ère",adj.,,,
prof,n.,,,
quand,conj.,,,
remercier,v.t.,Je vous remercie. remerciement n.m.,,
slam,n.m.,,,
sortir,v.t.,出版，发表：Le chanteur a sorti un album.,,
"sportif,tive",adj.,,,
texte,n.m.,,,
Leçon 30,,,,
accident,n.m.,,,
arriver,v.i.,aux.v. être: Un accident est arrivé au coin de la rue. / Il arrive à qn. 某人遇到了…… Il lui est arrivé des problèmes. / = se passer ,,
au-dessus de ,prép.,,,
autoroute,n.f.,sur l’autoroute,,
"blessé,e",n. / adj. ,,,
camion,n.m.,,,
circonstance,n.f.,,,
du jour,,当天的，当日的,,
en plus,loc. adv.,并且,,
fait,n.m.,fait divers / divers = diverse,,
"glissant,e",adj.,glisser v. / Il glisse sur la glace. / La route est glissante.,,
*heurter,v.,撞（虚音h）Le camion la heurter.,,
journaliste,n.,,,
